description,name,id
Food,Alcoholic Beverages,2983371011
Food,Baby Foods,16323111
Food,Beverages,16310231
Food,Breads & Bakery,16318751
Food,Breakfast Foods,16310251
Food,Candy & Chocolate,16322461
Food,"Dairy, Cheese & Eggs",371460011
Food,Deli & Prepared Foods,18773724011
Food,Food & Beverage Gifts,2255571011
Food,Fresh Flowers & Live Indoor Plants,3745171
Food,Fresh Meal Kits,15709227011
Food,Frozen,6459122011
Food,Home Brewing & Winemaking,979861011
Food,Meat & Seafood,371469011
Food,Meat Substitutes,6518859011
Food,Pantry Staples,18787303011
Food,Produce,6506977011
Food,Snack Foods,16322721
Alcoholic Beverages,Beer,2983385011
Alcoholic Beverages,Cocktail Mixers,119342011
Alcoholic Beverages,Spirits,2983387011
Alcoholic Beverages,Wine,2983386011
Beer,Ale,15158294011
Beer,Hard Cider,15158297011
Beer,Lager & Pilsner,15158295011
Beer,Malt Beverages,17691543011
Beer,Non-Alcoholic Beer,15158296011
Beer,Seasonal,17691541011
Beer,Variety Packs,17691542011
Ale,Amber,17691517011
Ale,Belgian,17691519011
Ale,Brown Ale,17691520011
Ale,Hefeweizen,17691524011
Ale,India Pale Ale (IPA),17691534011
Ale,Pale Ale,17691535011
Ale,Scotch Ale,17691529011
Ale,Sour,17691526011
Cocktail Mixers,Bitters,5782428011
Cocktail Mixers,Bloody Mary,5782427011
Cocktail Mixers,Daiquiri,5782429011
Cocktail Mixers,Margarita,5782430011
Cocktail Mixers,Martini,5782431011
Cocktail Mixers,Seltzer Water,5782445011
Cocktail Mixers,Tonic Water,5782446011
Spirits,Brandy,15158303011
Spirits,Gin,15158352011
Spirits,Liqueurs,15158354011
Spirits,Pre-mixed Drinks,15158358011
Spirits,Rum,15158359011
Spirits,Tequila,15158372011
Spirits,Vodka,15158378011
Spirits,Whiskey & Scotch,15158379011
Wine,Dessert,6503741011
Wine,Fruit,8521879011
Wine,Mead,8521880011
Wine,Non-Alcoholic Wine,18327544011
Wine,Red,6503737011
Wine,Ros̩,6503739011
Wine,Sake & Rice Spirits,15158360011
Wine,Sangria,18327545011
Wine,Sparkling,6503740011
Wine,White,6503738011
Baby Foods,Baby Formula,16323121
Baby Foods,Beverages,16323201
Baby Foods,Cereal,16323151
Baby Foods,Meals,14804133011
Baby Foods,Snack Foods,6520541011
Beverages,"Bottled Beverages, Water & Drink Mixes",14808787011
Beverages,"Coffee, Tea & Cocoa",16521305011
"Bottled Beverages, Water & Drink Mixes",Cocktail Mixers,119342011
"Bottled Beverages, Water & Drink Mixes",Coconut Water,5599475011
"Bottled Beverages, Water & Drink Mixes",Cold-Brew Coffee & Concentrate,14808786011
"Bottled Beverages, Water & Drink Mixes",Energy Drinks,16318341
"Bottled Beverages, Water & Drink Mixes",Flavor Syrups,5782432011
"Bottled Beverages, Water & Drink Mixes",Iced Tea,5782362011
"Bottled Beverages, Water & Drink Mixes",Juices,16318171
"Bottled Beverages, Water & Drink Mixes",Meal Replacement & Protein Drinks,11136975011
"Bottled Beverages, Water & Drink Mixes",Milk & Cream,6520435011
"Bottled Beverages, Water & Drink Mixes",Non-Dairy Milks,119343011
"Bottled Beverages, Water & Drink Mixes",Powdered Drink Mixes & Flavorings,15525241011
"Bottled Beverages, Water & Drink Mixes",Soft Drinks,16318231
"Bottled Beverages, Water & Drink Mixes",Sports Drinks,16318371
"Bottled Beverages, Water & Drink Mixes",Water,16318651
Juices,Ciders,348083011
Juices,Fruit Juice,2255111011
Juices,Lemonade,724689011
Juices,Smoothies,5782434011
Juices,Sparkling Juice,5782433011
Juices,Vegetable Juice,2255110011
Meal Replacement & Protein Drinks,Instant Breakfast Drinks,347684011
Meal Replacement & Protein Drinks,Meal Replacement Drinks,5782435011
Meal Replacement & Protein Drinks,Protein Drinks,5782436011
Milk & Cream,Buttermilk,6520436011
Milk & Cream,Coffee Creamers,6520437011
Milk & Cream,Dairy Milk,6520438011
Milk & Cream,Eggnog,6520443011
Milk & Cream,Flavored Milk,6520444011
Milk & Cream,Half & Half,6520448011
Milk & Cream,Heavy Cream,6520449011
Milk & Cream,Light Cream,6520450011
Milk & Cream,Whipping Cream,6520451011
Non-Dairy Milks,Almond Milk,6520452011
Non-Dairy Milks,Coconut Milk,6520453011
Non-Dairy Milks,Coffee Creamers,16318041
Non-Dairy Milks,Flax Milk,6520454011
Non-Dairy Milks,Hemp Milk,6520455011
Non-Dairy Milks,Oat Milks,18777532011
Non-Dairy Milks,Rice Milk,119345011
Non-Dairy Milks,Soy Milk,119344011
Powdered Drink Mixes & Flavorings,Chocolate Drink Mixes,2255565011
Powdered Drink Mixes & Flavorings,Instant Breakfast Drinks,347684011
Powdered Drink Mixes & Flavorings,Powdered Milk,16317451
Powdered Drink Mixes & Flavorings,Soft Drink Mixes,2255564011
Powdered Drink Mixes & Flavorings,Water Flavoring Drops,15525242011
Water,Flavored Water,5782439011
Water,Mineral Water,5782443011
Water,Seltzer Water,5782445011
Water,Sparkling Water,5782442011
Water,Sports Drinking Water,5782440011
Water,Tonic Water,5782446011
"Coffee, Tea & Cocoa",Bubble Tea Kits,17871587011
